Sl.No,Language,Language,Exam,Question,Answer Link,,,,,,,,,,,
3397,cognizant,junit,cc,book a flight junit cc,https://mega.nz/file/19xkGATT#DIeFtbUiBX_6vlQSuI5xgwKs-z8tg8xj5lXaeAk0arI,10,,,,,,,,,,
3398,Cognizant,Junit,cc,bank app junit cc,https://mega.nz/file/91oyFKaa#77Y1Ixh0GVY4UQG2PX46we6rpYIwhzBaVvX5DWO_ots,10,,,,,,,,,,
3399,cognizant,Csharp,Cc,distinct digit csharp cc,https://mega.nz/file/ch5kmAaT#G5W1HbLN94p2ixO2-nOW4E63TfHuiPJLRcTo3O9BrM0,5,,,,,,,,,,
3400,cognizant,csharp,cc,twin string csharp cc,https://mega.nz/folder/kx4mCAIS#36LAAruyUPgwpx6ijkda-w,5,,,,,,,,,,
4000,html css js,js,cc,singapore tourism html css js cc 50,https://mega.nz/file/s0RznSgA#HQ-qtGcipfbali2BsFq4ysPOF4nz9YOFP96SUtT_PWU,5,,,,,,,,,,
4002,html css js,js,cc,boat ride bill automation html css js cc,https://mega.nz/file/09ABBY5J#sjpFyoBfz0DjDChBlvv_3anIptFsRyQtJoXKyhPa8NA,10,,,,,,,,,,
4005,csharp,dotnet,cc,airline ticketing csharp cc,https://mega.nz/folder/k54VxA7a#HA0hV0z1C5lj57lOcKDsxg,10,,,,,,,,,,
4006,Cognizant,junit,cc,Lucky chill AC showroom junit cc,https://mega.nz/folder/QwoylazB#NfxWPOfRpeVbFGH6Knnbvg,10,,,,,,,,,,
4007,cognizant,junit,cc,eb connection junit cc,https://mega.nz/file/xph02C5Q#q_eikk_4LL1KwS5T7PCM6BCCvhh9KMs5UTEXQs4PFTc,10,,,,,,,,,,
4008,cognizant,junit,cc,pizza order management junit cc,https://mega.nz/file/QohS0CbJ#uV6Qkw4X_oB5x034ykivXXeU2TnZuRes_83tYEUk8e0,10,,,,,,,,,,
4010,cognizant,junit,cc,mobile connection junit cc,https://mega.nz/file/U4okyA6b#jtoB5R74jQfRK6NaXejuRrdoBGqWYby2eFlOebNm2RA,10,,,,,,,,,,
4012,Cognizant,junit,cc,project allocation refactoring junit cc,https://mega.nz/file/xh4U2CBC#4mNDmpmdLb6q1z2o5EW5ywkcjJtLx6wm9ATkx3ftjEo,10,,,,,,,,,,
4015,cognizant,junit,cc,loan management junit cc ,https://mega.nz/file/ghhCXChJ#qA0vP20udH0evOwRR3yn3t5wWarOQyXxOX2CpZl-ioI,10,,,,,,,,,,
4016,cognizant,junit ,Cc,E learning app junit cc,https://mega.nz/file/IlxQES7a#5YZMPWy96Dq5dYChYUrOmptzQRjzGfuWgYGd8SIgvLY,10,,,,,,,,,,
4019,java,spring,cc,easy recharge V1 spring java cc,https://mega.nz/file/so4zzSoC#Q8LQHBfejpFmzT3I70K1EhwUfdngink2T8T7xmuOLuE,10,,,,,,,,,,
4025,cognizant,java,Cc,code red technology java cc,https://mega.nz/file/do5SwBpb#WU4zc_hzXOkrV8MeloiXgYO2OsJmhdziz-p1NlzeGv8,10,,,,,,,,,,
4026,java,selenium,cc,dominion cinemas java cc2,https://mega.nz/file/VtxwwCoI#gzjpGa70ayj0GjREghTyhPUOPGTjj63AY63UseKMv6o,10,,,,,,,,,,
4028,cognizant,java,cc,Kisdor home appliances java cc,https://mega.nz/file/hghkjChB#yWXVqYDnp12gGPe_U39ZbgBEP9yym_sSx7M_BPzVHNM,10,,,,,,,,,,
4029,java,cognizant,cc,Pink fitness spring java cc,https://mega.nz/folder/phYxSAIC#oBOc4qt9okqo2YsZGhoM2g,11,,,,,,,,,,
4030,java,cognizant,cc,Ticket reservation java cc,https://mega.nz/folder/1tQjgSyb#GK86VrDf8B8Rn1zBrgctIg,11,,,,,,,,,,
4031,java,cognizant,cc,College election V1 java cc,https://mega.nz/folder/owAB2QZR#Kotx3tOoCsjoLuH-yTTtvg,11,,,,,,,,,,
4032,java,cognizant,cc,bella tour and travel ticket reservation java cc,https://mega.nz/folder/Y4Y1AYbA#yFBbD_g4rWdbPQ29PrqjOw,11,,,,,,,,,,
4033,java,cognizant,cc,kidsor home appliances java cc,https://mega.nz/file/spJzkQDR#OgTv-S-9ceOjn2iehP5G4SUBDHnHdkYCdvlUcLT3-Y0,11,,,,,,,,,,
4034,java,cognizant,cc,shopify new dynamic xpath java cc,https://mega.nz/file/QsAjkQZD#dr-Hl_QEb-kStKLcHPNWESraE8zSu3oI3gbm77gaRKc,11,,,,,,,,,,
4040,java,cognizant,cc,dominion cinema , home appliances , employee salary , passenger , dollar city theme park , zee laptop agency , ticket reservation java cc ,https://mega.nz/file/EwZCRRbI#giFFp7SdbeRZZ6YDISlvpDsHf1JrGhcqr57OUkJGfgk,50,,,,
4041,selenium,cognizant,CC,Shipment details poi with pom selenium cc,https://mega.nz/file/l9ZCjLCa#Thz0LA77Rq7BC0eqe0pFjXmqILK_RJtjLII8tPuoeXw,10,,,,,,,,,,
4042,selenium,cognizant,cc,address book Apache poi selenium cc,https://mega.nz/file/N4ZEgBqT#ZcoKv6IEojTkdJXY3EWPxn80P8OPuPZgEii7NmGLxOQ,10,,,,,,,,,,
4043,selenium,cognizant,cc,company offers discount poi selenium cc,https://mega.nz/file/gtRwmJTQ#jr-g6hfWi5oLjzbrq2P6u98nAmUM6KKLXMRiCUVm7RY,10,,,,,,,,,,
4044,xml,Cognizant,cc,patient information XML cc ,https://mega.nz/file/41BiBBja#rZZrg6-2K9AvSi-bw61qJIR94nO4x_urakPV7x1wKM0,5,,,,,,,,,,
4045,selenium,cc,Cognizant,customer registeration poi selenium cc,https://mega.nz/file/gwQA2BJb#Jz-nRsJcOqSShRybFJtUDcB0Oa0IAUJl3NoYsU5fCDI,10,,,,,,,,,,
4046,sql,cognizant,cc,active backlog sql cc,https://mega.nz/file/4gYCAb4B#8hBorBUNsEo6zkVjZ_LitWkRbmomBGJ8eRDDEkB_TNo,5,,,,,,,,,,
4047,sql,Cognizant,cc,first order sql cc,https://mega.nz/file/81RUBZxQ#Xry_K2W-Aqt2o1fzZxWGKn05rCmbIroxnTFpycyihsI,5,,,,,,,,,,
4048,sql,cognizant,cc,City revenue sql cc,https://mega.nz/file/V1YGGLxC#pBUbmfUulb-z4bLYXCW1xy-FIVr9wCn6zIqbEue-R7A,5,,,,,,,,,,
4049,Xml,cc,cognizant,message product patient information evergreen nursery XML ,https://mega.nz/file/114DHYRZ#-ee1BiSYvGC8Jj78cT1MwPpJ3NSKVeR-8_Y2gQgYll4,20,,,,,,,,,,
4050,sql,cognizant,Cc,City revenue sql cc,https://mega.nz/file/V1YGGLxC#pBUbmfUulb-z4bLYXCW1xy-FIVr9wCn6zIqbEue-R7A,5,,,,,,,,,,
4051,asp,ef,cc,store repository entity framework cc,https://mega.nz/file/w4BkjZDA#3E-wLGMTz024bjNfMd7UXphjwyup4N6lpYAkiN-3JDw,10,,,,,,,,,,
4052,java,Cognizant,cc,ugly number java cc,https://mega.nz/folder/l0AWVbJB#hxYIGrOC4bUdad2RF_uHag,5,,,,,,,,,,
4053,sql,Cognizant,Cc,Zee rental sql cc,https://mega.nz/folder/8xpQ0YyT#cUwWi6QzQqULkvXfA0EwtQ,5,,,,,,,,,,
4054,selenium,java,cc,invoice update testng selenium cc,https://mega.nz/file/c5xyBbaA#3nkYHfu00k_xO6A5CzGISzMBYIZIkUHCZgjAkHkN0zc,10,,,,,,,,,,
4055,Dotnet,Csharp,ICT,Train ticket booking csharp ict,https://mega.nz/file/t0ZRFQSa#J8Kpe4kzj7iRPFkUENdKzWqE5i-BMJIXkpcXY1drx3k,15,,,,,,,,,,
4056,Selenium,Cognizant,ict,Purchase app new selenium ict,https://mega.nz/folder/okpWVbSQ#g_mO31U3goI3og_-DePjvw,11,,,,,,,,,,
4060,dotnet,asp,ict,chms COVID hospital management system dotnet ict cc,https://mega.nz/folder/pkgEEC7L#fd6QNtrb0MCAWuwNHRfCAw,15,,,,,,,,,,
4061,Javascript,Cognizant,cc,Singapore tourism javascript cc,https://mega.nz/folder/Qxo1UCBT#ejIpZFC4dknmGRsGEXEYQw,11,,,,,,,,,,
4062,Dotnet,Cognizant,ict,Salon price fixer dotnet ict,https://mega.nz/folder/9lojEKCT#tlowqVZqTo92EcE3_l7cXw,19,,,,,,,,,,
4063,Selenium,Java,ict,Ticket booking valid selenium nec ict,https://mega.nz/folder/pwwXxCbD#m5Kpu_v4haECwnp7_YVmPQ,16,,,,,,,,,,
4064,Cognizant,Hackerrank,cde,Meandering array or perfect substring csharp cde hackerrank,https://mega.nz/folder/4kgliAwQ#7meIePTDYKDTHz7Lo7zAvw,7,,,,,,,,,,
4065,Java,Cognizant,cc,Loan management java cc,https://mega.nz/folder/YphXyaJB#MmzWLXa7TQhck2lXEzIfTQ,11,,,,,,,,,,
4066,RDP,Cognizant,English,Step plus genc all updated PDFs rdp ,https://mega.nz/folder/UkwwkZxB#UlRjl-4jj3Qqdn3ZOr8L4g,59,,,,,,,,,,
4067,Stage1,Cognizant,Bootstrap,css3,html, javascript handson, jQuery handson,sql,Bootstrap css3 html javascript handson jQuery handson sql all files included stage1 cognizant,https://mega.nz/folder/ZsQhkQQK#CwsFD67_eOjCWDFgI4SCqA,74,,,,,
4068,stage1,cognizant,Javascript handson,Employee Experience Details - Class and Object & Date,Find Unique Characters - Functions, Fixed And Reducing Interest Loan Estimator, Greetings - DOM, Placing Order For Cake - String & Math, Validate Email - Regular Expression & test Function, Word Play - Operators, Conditional Control Statements & Loops  javascript handson stage1 cognizant ,https://mega.nz/folder/ktZlACyA#vKu7I816UoO-5XWx30TOKQ,42,,,
4069,stage1,cognizant,javascript handson,Placing Order For Cake - String & Math javascript handson stage1 cognizant,https://mega.nz/file/soR1SKga#Y3LBQiHqeXy-Dg6nGPDPdqE72if19NAmjcV36vMNUUQ,6,,,,,,,,,,
4070,stage1,cognizant,javascript handson,Employee Experience Details - Class and Object & Date javascript handson stage1 cognizant,https://mega.nz/file/ppRTkaoY#SQRW66Rv7VFQ8N6u-Lhc-mEnUQBNW0C_F_f5nxZwNII,6,,,,,,,,,,
4071,stage1,cognizant,javascript handson,Find Unique Characters - Functions javascript handson stage1 cognizant,https://mega.nz/file/opYlVIDC#NzOEnVZWIqq3waUg8nkNr6QUkGFz4aFlfp-yPpjw1-c,6,,,,,,,,,,
4072,stage1,cognizant,javascript handson,Fixed And Reducing Interest Loan Estimator javascript handson stage1 cognizant,https://mega.nz/file/AwYx3KjQ#6T6pgmKWfEamygDPuo7Rnw9A0RNOpExy1FhxdxYg2_o,6,,,,,,,,,,
4073,Stage1,cognizant,javascript handson,Greetings - DOM javascript handson stage1 cognizant,https://mega.nz/file/44QhUAoR#3gZMew_AdAyrfEkk3_dlqTG28cl8lR7A417rtrjpYiQ,6,,,,,,,,,,
4074,stage1,cognizant,javascript handson,Validate Email - Regular Expression & test Function javascript handson stage1 cognizant,https://mega.nz/file/Z8JTGSDS#fspPTnGgr6rD24v_UA9O7FCp7prs5rbNq1Y4gJhE6vs,6,,,,,,,,,,
4075,stage1,cognizant,javascript handson,Word Play - Operators, Conditional Control Statements & Loops javascript handson stage1 cognizant,https://mega.nz/file/B5Jj2ayb#jIGwKBM8RyIM1jT4XVYstqTSThGJOX9iSzrZf6bVw6Q,6,,,,,,,,,
4076,stage1,cognizant,Bootstrap,Layout bootstrap stage1 cognizant,https://mega.nz/file/x4wESb5A#TJ0NewUU6rhHwx4CSn5RhAxsKkYtHUM_w5aao01UqY0,6,,,,,,,,,,
4077,stage1,cognizant,bootstrap,Navigation bootstrap stage1 cognizant,https://mega.nz/file/ctoCURAT#CLDvMQTc26zTdxw2iHVT89dtuEiEcFmHgUID14Kewz0,6,,,,,,,,,,
4078,Stage1,cognizant,bootstrap,Responsive bootstrap stage1 cognizant,https://mega.nz/file/9g4inZhS#-WgJUFiB1HEXtkq0l-DMn09LsCW3QoBmARTm_nqpPgc,6,,,,,,,,,,
4079,stage1,cognizant,bootstrap,Layout navigation responsive bootstrap stage1 cognizant,https://mega.nz/folder/k55gFbBA#X5t2v3I9jYr2q8zLiGuvPQ,17,,,,,,,,,,
4080,stage1,cognizant,HTML,Learning Material Styling HTML stage1 cognizant,https://mega.nz/file/AloCiLyR#8XTqRKnEAUhtA5zc8rpNDUOMVk6lSq64HroaZkyR-F4,6,,,,,,,,,,
4081,stage1,cognizant,HTML,Simple Calculator HTML stage1 cognizant,https://mega.nz/file/8k5wkBQC#qFEngIj9qPgBCgOxsXMwbwiknmr2zRbtvc56nWulx2U,6,,,,,,,,,,
4082,stage1,cognizant,HTML,Learning Material Styling, simple calculator HTML stage1 cognizant ,https://mega.nz/folder/EoxgGTRb#VwEMeJgtmJ4dsmNmYfNxUw,11,,,,,,,,,
4083,stage1,cognizant,Css3,[ADDITIONAL] Rate Card For Boat Riding CSS3 stage1 cognizant,https://mega.nz/file/4lwmkbaT#FPXwdKTKm2ocJtiZUGzVCUDHUAK4uuzZyV3apoADS4U,6,,,,,,,,,,
4084,stage1,cognizant,css3,Bill calculator css3 stage1 cognizant,https://mega.nz/file/x9xghbia#xYZQKjt8HIrKCpgGXjOpy9hLkjzjM8dUeOKdhxlsq1E,6,,,,,,,,,,
4085,stage1,cognizant,Css3,Feedback details CSS3 stage1 cognizant,https://mega.nz/file/g45ECZAZ#nhxSVFJz41sWNY3KdaTOTK8JVuDi1qtWLKIr84suPGI,6,,,,,,,,,,
4086,stage1,cognizant,css3,Trainer Feedback Rating Chart CSS3 stage1 cognizant,https://mega.nz/file/lthAnBDS#KT8272pvI3pnH0otcmtUMpRZrqm3Gx23VD-vWX1NfPg,6,,,,,,,,,,
4087,stage1,cognizant,Css3,[ADDITIONAL] Rate Card For Boat Riding,bill calculator, feedback details, Trainer Feedback Rating Chart CSS3 stage1 cognizant ,https://mega.nz/folder/Q0pgjLgA#6GZl1DOk7ueN9Rf6qKzVhQ,24,,,,,,,
4088,Selenium QEA,Week12,handson,GIT installation and commands selenium QEA week12 handson,https://mega.nz/file/9gIXwI4C#_5vT3LKfY5Vh2SF_0infs18rFMHt6EuonHuXR61IwUc,6,,,,,,,,,,
4089,Selenium QEA,Week12,Handson,Mavenization using Eclipse Selenium QEA week12 handson,https://mega.nz/file/01JzBCRJ#hbvgr_XZMiVKPvCbnnjnFRneR2n_wOZjK_mNPLMCesc,5,,,,,,,,,,
4090,Selenium QEA,Week11,Handson,Week11 webservice selenium QEA handson,https://mega.nz/folder/k44k0ZgR#9OVGYvDvaWn9l0mytHeCtw,24,,,,,,,,,,
4091,Html css js,Cognizant,cc,Happy place rental property html css js cc,https://mega.nz/folder/RwpD1QhC#fQi7drMGHt8_Ki47D7VX-g,14,,,,,,,,,,
4092,Java,Cognizant,Project,Question paper-generation-system-master java project ,https://mega.nz/folder/gtgX3ApK#5Td9i0iBHu3yel7ZsYg-Mg,49,,,,,,,,,,
4093,Java ,Cognizant,Project,State scholarship java project,https://mega.nz/folder/skpDSQYL#5fmunj0hxI0A_tjqiBH_Jg,99,,,,,,,,,,
4094,Selenium,Testng,Cc,User details selenium testng cc,https://mega.nz/folder/B9JnzCbQ#odDvJWqBEHQ6ql_jvb_Gcg,16,,,,,,,,,,
4095,Dotnet,csharp,ICT,Pharma management csharp dotnet ict,https://mega.nz/file/Eopk2bJD#q8_z2jekf6VIQE_7Mcqgyo6uje8h6E_l7uyXNnhjoZg,15,,,,,,,,,,
4096,Dotnet,Cognizant,Ict,Shipping management dotnet ict,https://mega.nz/file/9xQjgKCJ#q4O9-BK7AuSZvkDbYs2GJMh_cLJ-rMQJZoDyxpAEsNU,16,,,,,,,,,,
4097,Selenium QEA,Week1,Handson,Hotel booking, student enquiry form week1 selenium QEA handson,https://mega.nz/folder/Js5S2ZSb#VJ63Ei20GSlTRSaFHHFKcQ,12,,,,,,,,,
4098,selenium QEA,Week5,Handson,Well formed XML-Department Details 1 and 2 , hotel information,employee detail, multiple department details week5 selenium QEA handson ,https://mega.nz/folder/Il50ATyR#IFLbguJ2Ldgp7yiy0dq2GQ,29,,,,,,,
4099,Selenium QEA,Week 9,Handson,Shipment Cost - TestNG with DataProvider,testNG annotations 1 and 2 week9 selenium QEA handson ,https://mega.nz/folder/U8gAkLbZ#igyAPNV6jjzZ5Itc8MUBbw,18,,,,,,,,,
4100,selenium QEA,Week8,Handson,Applying POI  With POM - 1and 2, applying POI-1 and 2 week8 selenium QEA handson ,https://mega.nz/folder/0t4mUbwS#b2XITlvnnGoaaqelJS89AQ,24,,,,,,,,,
4101,selenium QEA,Week12,Handson,bddCucumber Handson 2 and 3, GIT installation  commands,Install Jenkins and Creation of new job, Mavenization using Eclipse, phphandson.zip, Setup Grid and parallel execution, Simple cucumber project using datatable week12 selenium QEA handson,https://mega.nz/folder/J8w0wJTR#9lxbveFWPheVnwuTdx4AMQ,42,,,,
4102,selenium QEA,Week10,Handson,JSON parsing 1, Work With JSON and POM - 1,Work With XML and POM - 1, Work With XML and POM - 2  (Commodity) Work With XML and POM - 3 (Discount Calculator)  Work With XML and POM - 4  (Shipment Detail)  Work With XML and POM - 5 (Customer Registration)  XMLParsing -1 week 10 selenium QEA handson,https://mega.nz/folder/kp4gnLYR#22binIHelosJoCJIrGgckA,48,,,,,,,
4103,selenium QEA,Week6,Handson,All Webelements, Form Registration basic,advanced, ID locator, page navigation,Object Identification By name week6 selenium QEA handson ,https://mega.nz/folder/poxWhLjQ#JkQh2nOj4e03vfurzNU9Cg,36,,,,,
4104,Selenium QEA,Week7,Handson,AbsoluteXpathLocator, CSS locator,Drag and Drop with Slider, Handling RegEx Selenium, multiple window, RelativeXpathLocator, work with alerts, xpath ancestor,Work with Javascript Executor week7 selenium QEA handson  ,https://mega.nz/folder/48wQQRZB#CLp0y1tAW0EzXXjOT9j3Rw,54,,
4105,Selenium QEA,Week 2 and3,Handson,All java files week 2 and 3 selenium QEA handson,https://mega.nz/folder/N84RESRT#pJ-SdeQrVz8lSsAnWnR6DQ,31,,,,,,,,,,
4106,selenium QEA,Week4,Handson,All sql files week4 selenium QEA handson,https://mega.nz/folder/45pyQTBA#EXQlGuE8xovCKxMJ8qNTow,31,,,,,,,,,,
4107,jQuery,Ajax,Handson,Alternate Rows-Selectors jQuery ajax handson,https://mega.nz/file/J0Q3yARY#ZHYFj_c3c21OsoYivRwRNVz0KXnyT63e4ciE62NWMTg,7,,,,,,,,,,
4108,jQuery,Ajax,Handson,Customer data jQuery ajax handson,https://mega.nz/file/1pJXiCDb#7heDF_EgWg-qGmsialbLWZWWYuMCbdU81U9DI99fI_0,7,,,,,,,,,,
4109,jQuery,Ajax,Handson,Error message jQuery ajax handson,https://mega.nz/file/x4RxyChA#76S5rTa_0AfTIy8oSVYX7t0JTptAbaek6KWlEIdvq8g,7,,,,,,,,,,
4110,jQuery,Ajax,Handson,Get JSON data jQuery ajax handson,https://mega.nz/file/89ABCYZZ#E5tT2oXXS-zp7l4Ug8h7VeqYGXRCys3K1a9MabqJCXA,7,,,,,,,,,,
4111,jQuery,Ajax,Handson,Ice Cream Flavours-Selectors jQuery ajax handson,https://mega.nz/file/A9JzzKyJ#Ab8-8lZkmK7KIZMGIKL_sOzCRUfdgdYDYSiihIjiRNw,7,,,,,,,,,,
4112,jQuery,Ajax,Handson,Load jQuery ajax handson,https://mega.nz/file/QsI1BSZC#eTtXxKcO-1UMOAcI0smsc4HiQ6G31RL3QOO6hWXwkpI,7,,,,,,,,,,
4113,jQuery,ajax,Handson,Login form jQuery ajax handson,https://mega.nz/file/p9QD0K5R#5k1SvKy3AgdvbdzfumbT3LKH3lVx3xjMRk2Fh3XTBd4,7,,,,,,,,,,
4114,jQuery,Ajax,Handson,Select the boxes jQuery ajax handson,https://mega.nz/file/9tJhkIQa#pr1zfs2GWz2GZYDtXY99xwXBvDqFyayWN9D2md8NKc0,7,,,,,,,,,,
4115,jQuery,Ajax,Handson,Three divisions jQuery ajax handson,https://mega.nz/file/w5JFWaZK#7DnQVnGy--_kKSqNuU6JW7FV7ozkuhVEw2SNj9v4KB0,7,,,,,,,,,,
4116,jQuery,Ajax,Handson,Vertical menu jQuery ajax handson,https://mega.nz/file/tkInVKRQ#XFk77KrU2iDKrlHDyaXb9YrUVPiaCWSi1chVc5OTWlI,7,,,,,,,,,,
4117,jQuery,Ajax,Handson,Welcome message jQuery ajax handson,https://mega.nz/file/olZ1lK7Q#OagRmDHJB8NFBZQ8GTeeHKOl9_-72emec2GqDz8w2cY,7,,,,,,,,,,
4118,Cognizant,Cpp,Handson,Element replication c++ handson,https://mega.nz/folder/h5A0SDiC#UbTfJVdM7MqFX9-ij3fj3g,14,,,,,,,,,,
4119,Cognizant,Cpp,Handson,Admission eligibility c++ handson,https://mega.nz/folder/klxSXa6B#z5VsWcRVnU_QsOqkepymSw,11,,,,,,,,,,
4120,Cognizant,Cpp,Handson,Lowest mark in each semester c++ handson,https://mega.nz/folder/M5QE0LLD#vVE9rHoSEHawoQSMQ_IGQA,11,,,,,,,,,,
4121,Cognizant,Cpp,Handson,Multiply first and the last integer c++ handson,https://mega.nz/folder/14RwwbQD#R0Bl2PTO6QATICS4NT7GPg,11,,,,,,,,,,
4122,Cognizant,sql,cc,Display tourist sports sql cc,https://mega.nz/folder/xpAWxDCb#u5DNVarwyxQW_l5SZDFcHg,7,,,,,,,,,,
4124,Cognizant,Sql,Cc,Create payment table sql cc,https://mega.nz/folder/VtIWRRII#gaNb34TLNRncgqB9ynOKtw,7,,,,,,,,,,
4125,Dotnet,Csharp,ict,Store schedule system dotnet ict,https://mega.nz/folder/99oCSSRJ#keE78Mn2XZbVMo4sLwGEmw,16,,,,,,,,,,
4126,cognizant,cpp,handson,Amusement park c++ handson,https://mega.nz/folder/ohx0SCgQ#8D13k95O_1eWf8DgwGziyA,9,,,,,,,,,,
4127,cognizant,cpp,handson,Monthly expenses c++ handson,https://mega.nz/folder/48pmjaJZ#L2fspoFVIUEhuM2QeG6FfA,9,,,,,,,,,,
4128,cognizant,cpp,handson,Lowest mark c++ handson,https://mega.nz/folder/Zp42WKTI#SiB3DtuQTTmFq9D4gqS6sw,9,,,,,,,,,,
4129,cognizant,cpp,handson,Divide numbers c++ handson,https://mega.nz/folder/JggQDYaK#YJ30YYABn4gvtueNNwbKvQ,9,,,,,,,,,,
4130,Cognizant,Cpp,Handson,Bank account c++ handson,https://mega.nz/folder/MlgwGSQS#1Ocp9lzNwpvQkrZkA9-LtQ,9,,,,,,,,,,
4131,cognizant,cpp,handson,County c++ handson,https://mega.nz/folder/Yh4UQIqL#Blehkv2ch9zhgVWV5PiS0w,9,,,,,,,,,,
4132,cognizant,cpp,handson,Discount sales c++ handson,https://mega.nz/folder/R9xjmCxT#M4kten5lNe0QfdOrI4Qa1g,9,,,,,,,,,,
4133,cognizant,cpp,handson,Player c++ handson,https://mega.nz/folder/1p5B3Kra#2i6IBhGKRfiG0dVEWaY2_g,9,,,,,,,,,,
4134,Cognizant,Cpp,Handson,String length c++ handson,https://mega.nz/folder/Aph3HKzT#Y7MAOUH_sTmPAYR6fGsgeg,9,,,,,,,,,,
4135,Cognizant,cpp,handson,Ascii c++ handson,https://mega.nz/folder/1k4kAAbA#RK6Baas-TVHlzcMkmH5E7A,9,,,,,,,,,,
4136,Cognizant,Selenium,ict,Cab search functional testing ict excel ,https://mega.nz/folder/sx5RVCgL#PLHFKCcLTqECewd1X9ZLYQ,11,,,,,,,,,,
4137,cognizant,Selenium,Ict,Flight selection ict excel,https://mega.nz/folder/N1A2kRwZ#ZF32Z7PgDcSLq9aqBpEsqw,11,,,,,,,,,,
4138,Cognizant,Dotnet,Ict ,Movie ticket booking csharp dotnet ict,https://mega.nz/folder/YgYgQZ4D#-2ggEjnpoba49kGBQsFl_g,21,,,,,,,,,,
4139,Cognizant,Dotnet,ict,Buffet restaurant csharp dotnet ict,https://mega.nz/folder/owIynbBK#wjPcjkFQBowu8DOlCADZ0g,16,,,,,,,,,,
4140,Cognizant,Cpp,Handson,All c++ handson,https://mega.nz/folder/59ZQHLQK#kc6fLTzGVe29CaTw8IGdVQ,51,,,,,,,,,,
4141,DRL,Procedure,Sql server cc,Sql server cc,https://mega.nz/folder/c1IUgRSb#TN2xNuucw4Oax-V9W31oqg,5,,,,,,,,,,
4142,Cognizant,Java,cc,Rider cycle booking java cc,https://mega.nz/file/cpBEUTSA#buOgjbrdZNmY4tMg6NrCPUduTn8zVV-ISpfb2jIzZx4,11,,,,,,,,,,
4143,Cognizant,Dotnet,ict,LPG dotnet ict,https://mega.nz/file/phJSSJhC#aCPQN2Eeay_fYCFxBfXIU2OqfiMP53nILXY9SGKMLH8,16,,,,,,,,,,
4144,cognizant,Dotnet,cc,Company registration dotnet cc,https://mega.nz/file/IhY2wZwD#aDY0QUh9tDjVaAWPI-OT5CgC4_cEmMDpwqJhfP-izoQ,11,,,,,,,,,,
4145,Cognizant,Unix shell scripting,Handson,Copy complete directory Unix shell scripting handson ,https://mega.nz/file/Q9gVVAyB#OFgLgvJVjPMhcdE_kcRfkv-2pbM41wSAL9EFonwZNEk,3,,,,,,,,,,
4146,cognizant,Unix shell scripting,handson,Copy directory Unix shell scripting handson,https://mega.nz/file/99gVRIiS#D601Ej9Sx1VsJhgtk7kVdHdgqumsrQDSxffwdzx9WjA,3,,,,,,,,,,
4147,cognizant,Unix shell scripting,handson,Copy file 5 Unix shell scripting handson,https://mega.nz/file/405zjaZb#nDZ8HI_-ATiyA5yCYnn6_jYUFy6LZiRJrz1_-bZaISI,3,,,,,,,,,,
4148,cognizant,Unix shell scripting,handson,Copy file-6 Unix shell scripting handson,https://mega.nz/file/Rxx3yAya#n-TSabQBmNC8K7MBwbyw1YIWuTjh7uBKV-qHNO10_YQ,3,,,,,,,,,,
4149,cognizant,Unix shell scripting,handson,Find string 7 Unix shell scripting handson,https://mega.nz/file/1hxDQQ5Y#xv_17TyY_5mb7JzdWyvoPUGuSIBmQjm9RaPeQj2nal0,3,,,,,,,,,,
4150,cognizant,Unix shell scripting,handson,Find string 8 Unix shell scripting handson,https://mega.nz/file/h8hBEQSJ#-Ouw-KY9zegSn7X5g_QnYXfpb1LimR2J_GjYvcOq6Zc,3,,,,,,,,,,
4151,cognizant,Unix shell scripting,handson,Grep command-1 Unix shell scripting handson,https://mega.nz/file/40hlFYxb#9sgijlQNcW05Zq71e0rsAoywb8fo3RyPzjZLTVzxTz4,3,,,,,,,,,,
4152,cognizant,Unix shell scripting,handson,Grep command-2 Unix shell scripting handson,https://mega.nz/file/E5p3TCab#7FbfaNae92qg2hFI4YhYUC5FhUC5xzGTjqmo6CqNcHs,3,,,,,,,,,,
4153,cognizant,Unix shell scripting,handson,List of files 2 Unix shell scripting handson,https://mega.nz/file/t14XWSSb#xk08qwH6eQ9ZT1UWtfmOUPkgptzXGvyvGtnX6hZIgvc,3,,,,,,,,,,
4154,cognizant,Unix shell scripting,handson,List of files 3 Unix shell scripting handson,https://mega.nz/file/dg5DwIbK#YtltdQfmoWaFaT7Z2I3wQ1kQo9hHfnd6V_z956SMuW4,3,,,,,,,,,,
4155,cognizant,Unix shell scripting,handson,Move file 1 Unix shell scripting handson,https://mega.nz/file/R5hlxQLL#4IbZPXl8MkVBQ5DkUS2TVY2ph9IG3cqM8uB0bpw9LeQ,3,,,,,,,,,,
4156,cognizant,Unix shell scripting,handson,Move file 2 Unix shell scripting handson,https://mega.nz/file/t9xXQA6D#hllY0jznrbcdPzJCFQEFFvw5sKa9MV0O1RNSm6tX3u0,3,,,,,,,,,,
4157,cognizant,Unix shell scripting,handson,Script-pattern printing Unix shell scripting handson,https://mega.nz/file/g0hljAJL#UCEBI_E9MS2LKHwuYLSIqQfmFtrx8N41J3a4v0vecRQ,3,,,,,,,,,,
